identifier,,Unnamed: 0,identifier,topic_num,weight,Department,title,identifier1,topic_num1,weight1,Department1,title1,source,target
f3028pn9,45813,45814,f3028pn9,topic25,0.0174533598,Materials,Embedded Photonic Crystals in Gallium Nitride: MOCVD Growth and LED Design,f3kp808k,topic25,0.0011674772689999999,Electrical and Computer Engineering,Optimization in Stochastic Hybrid and Switching Systems,11,1060
f3028pn9,47848,47849,f3028pn9,topic7,0.01775842863,Materials,Embedded Photonic Crystals in Gallium Nitride: MOCVD Growth and LED Design,f3w66hzz,topic7,0.03193147957,Electrical and Computer Engineering,Distributed Tracking and Re-Identification in a Camera Network,11,1568
f3028pn9,45454,45455,f3028pn9,topic25,0.0174533598,Materials,Embedded Photonic Crystals in Gallium Nitride: MOCVD Growth and LED Design,f3br8qc4,topic25,0.00252596348,Mathematics,Braid Groups and Euclidean Simplices,11,647
f3028pn9,45483,45484,f3028pn9,topic25,0.0174533598,Materials,Embedded Photonic Crystals in Gallium Nitride: MOCVD Growth and LED Design,f3cc0xp4,topic25,0.011087222140000002,Anthropology,"A Regional and Diachronic Study of Hunter-Gatherer Mobility and Mortuary Practices in the Salton Basin, Southeastern California",11,680
f3028pq6,52617,52618,f3028pq6,topic7,0.03450359609,Religious Studies,Interdependence as a Lifeway: Decolonization and Resistance in Transnational Native American and Tibetan Communities,f3fj2dx5,topic7,0.1029274616,Education,"The Intersection of Sample Size, Number of Indicators, and Class Enumeration in LCA: A Monte Carlo Study",12,814
f3028pq6,51224,51225,f3028pq6,topic25,0.000826,Religious Studies,Interdependence as a Lifeway: Decolonization and Resistance in Transnational Native American and Tibetan Communities,f3nc5zbf,topic25,0.0394233167,Electrical and Computer Engineering,Output Regulation for Linear Hybrid Systems with Periodic Jump Times,12,1158
f3028pq6,52972,52973,f3028pq6,topic7,0.03450359609,Religious Studies,Interdependence as a Lifeway: Decolonization and Resistance in Transnational Native American and Tibetan Communities,f3p55kn5,topic7,0.059354628570000005,Mechanical Engineering,Information Propagation on Social Networks,12,1203
f3028pq6,49764,49765,f3028pq6,topic19,0.058820022199999995,Religious Studies,Interdependence as a Lifeway: Decolonization and Resistance in Transnational Native American and Tibetan Communities,f3m906tq,topic19,0.000325,Physics,Surprises at the edge : theoretical investigations at the boundaries of quantum Hall systems,12,1094
f3028pq6,48414,48415,f3028pq6,topic17,0.000213,Religious Studies,Interdependence as a Lifeway: Decolonization and Resistance in Transnational Native American and Tibetan Communities,f36h4fd3,topic17,0.000234,Education,Targeting Question-Asking Initiations through Video-Feedback to Improve Social Conversation in College Students with Autism Spectrum Disorders,12,389
f3057cwc,54035,54036,f3057cwc,topic19,0.000391,Mechanical Engineering,Event-Based Optimal Control of Neurons,f3988547,topic19,0.008976503081999999,Mathematics,Gathering data on Pn: Based linear systems and Veronese embeddings,13,559
f3057cwc,55905,55906,f3057cwc,topic25,0.00110232969,Mechanical Engineering,Event-Based Optimal Control of Neurons,f3m61hcz,topic25,0.003644367855,Mathematics,Isometries of the Hilbert Metric,13,1085
f3057cwc,57789,57790,f3057cwc,topic7,0.03489541418,Mechanical Engineering,Event-Based Optimal Control of Neurons,f3t151nd,topic7,0.037243839310000006,Linguistics,Prosody and Grammar in Kabardian,13,1433
f3057cwc,54204,54205,f3057cwc,topic19,0.000391,Mechanical Engineering,Event-Based Optimal Control of Neurons,f3ff3qj9,topic19,0.02764881499,Global Studies,How Migrant Parents in Beijing Care for Their Children : A Comparison Study on Parenting Strategies Between Poor and Not-so-poor Migrant Parents,13,809
f3057cwc,55393,55394,f3057cwc,topic25,0.00110232969,Mechanical Engineering,Event-Based Optimal Control of Neurons,f3862dnk,topic25,0.022287441180000003,Materials,Characterizing Structure and Properties of Woven Ceramic Matrix Composites,13,494
f3057d1k,63317,63318,f3057d1k,topic7,0.00732124092,History,Public At Work: Direct Job Creation Policy From The New Deal to the Rise of Reagan,f3tq5zqc,topic7,0.018102489319999998,Education - Gevirtz Graduate School,Improving Health with Science : Exploring Community-Driven Science Education in Kenya,14,1478
f3057d1k,58942,58943,f3057d1k,topic19,0.23404714329999998,History,Public At Work: Direct Job Creation Policy From The New Deal to the Rise of Reagan,f32b8xv8,topic19,0.00042699999999999997,Electrical and Computer Engineering,Ultra-Narrow Bandwidth Optical Resonators for Integrated Low Frequency Noise Lasers,14,143
f3057d1k,59523,59524,f3057d1k,topic19,0.23404714329999998,History,Public At Work: Direct Job Creation Policy From The New Deal to the Rise of Reagan,f3js9nkk,topic19,0.000794,"Education, Joint Program Cal Poly SLO",The Relationship Between Ethnic Identity and Residence Hall Preference,14,1009
f3057d1k,60124,60125,f3057d1k,topic25,0.001153838915,History,Public At Work: Direct Job Creation Policy From The New Deal to the Rise of Reagan,f31v5bxv,topic25,0.01889040645,and San Diego State University. Geography,"Land-use change, ecosystem services, and local livelihoods: Ecological and socioeconomic outcomes of Payment for Ecosystem Services in Ecuadorian paramo grasslands",14,113
f3057d1k,61523,61524,f3057d1k,topic25,0.001153838915,History,Public At Work: Direct Job Creation Policy From The New Deal to the Rise of Reagan,f3zp443w,topic25,0.001289403021,English,"And the Wound Speaks: Language, Trauma, Topography and Uncreation",14,1713
f3057d21,67579,67580,f3057d21,topic7,0.02312199489,Geography,Developing High Performance GIS Simulation Models on Geospatial Cyberinfrastructure: A Case Study of Population Change Models with Grid Computing and Cloud Computing Technologies,f36q1vcj,topic7,0.01847671818,Sociology,The Pachamama Worldview in the Ecuadorian Urban Ayllu Network: Mashi Identity and Resistance in Early 21st-century Quito,15,403
f3057d21,63759,63760,f3057d21,topic17,0.00022400000000000002,Geography,Developing High Performance GIS Simulation Models on Geospatial Cyberinfrastructure: A Case Study of Population Change Models with Grid Computing and Cloud Computing Technologies,f30p0x4n,topic17,0.000365,English,"Dead-Tree Data: Print Novels, Information Storage, and Media Transition, 1910/2010",15,43
f3057d21,67475,67476,f3057d21,topic7,0.02312199489,Geography,Developing High Performance GIS Simulation Models on Geospatial Cyberinfrastructure: A Case Study of Population Change Models with Grid Computing and Cloud Computing Technologies,f34t6gjj,topic7,0.09183518868999999,Physics,Cosmic Ray Dynamics in Galaxies and Galaxy Clusters,15,292
f3057d21,67930,67931,f3057d21,topic7,0.02312199489,Geography,Developing High Performance GIS Simulation Models on Geospatial Cyberinfrastructure: A Case Study of Population Change Models with Grid Computing and Cloud Computing Technologies,f3dz069p,topic7,0.032200163399999995,Materials,Thermal Performance of III-Nitride Light Emitting Diodes and Developments in Laser Based White Lighting,15,779
f3057d21,63627,63628,f3057d21,topic1,0.17619988530000003,Geography,Developing High Performance GIS Simulation Models on Geospatial Cyberinfrastructure: A Case Study of Population Change Models with Grid Computing and Cloud Computing Technologies,f3cr5t5v,topic1,0.05048500597,Religious Studies,"Contextualizing Diaspora : Studies in Jewish Emplacement, Social Construction, Materiality, and Memory",15,709
f3057d3g,70636,70637,f3057d3g,topic25,0.001505605632,Materials,Patterning Surfaces using Block Copolymer Polymer Thin Films and Polymer Brushes Synthesized by a Light-Mediated Controlled Radical Polymerization Technique,f3df6pcg,topic25,0.03158707781,Chemistry,"Design, Synthesis and Theoretical Investigation of Small Molecules for Utility in Organic Semiconducting Devices",16,749
f3057d3g,70087,70088,f3057d3g,topic25,0.001505605632,Materials,Patterning Surfaces using Block Copolymer Polymer Thin Films and Polymer Brushes Synthesized by a Light-Mediated Controlled Radical Polymerization Technique,f3222rqc,topic25,0.01891091402,"Molecular, Cellular and Developmental Biology",Redundancy and the Recursive Feed-forward Architecture of Endodermal Gene Regulation in Caenorhabditis elegans,16,123
f3057d3g,70110,70111,f3057d3g,topic25,0.001505605632,Materials,Patterning Surfaces using Block Copolymer Polymer Thin Films and Polymer Brushes Synthesized by a Light-Mediated Controlled Radical Polymerization Technique,f32f7kk6,topic25,0.000909,Music,"Transformation and Connection through Art Song and Jake Heggie's ""The Starry Night""",16,148
f3057d3g,71801,71802,f3057d3g,topic7,0.0019315812710000001,Materials,Patterning Surfaces using Block Copolymer Polymer Thin Films and Polymer Brushes Synthesized by a Light-Mediated Controlled Radical Polymerization Technique,f3348h9c,topic7,0.018256687030000003,History,Jewish Women and their Community in late Medieval and Renaissance Perugia,16,188
